Date,Close/Last,Volume,Open,High,Low
10/05/2018,$82.15,5454641,$81.98,$82.45,$81.98
10/04/2018,$81.92,7015254,$82.5,$82.5,$81.1
10/03/2018,$83.03,7958663,$84.44,$84.52,$82.85
10/02/2018,$84.36,6658259,$83.48,$84.435,$83.37
10/01/2018,$83.67,4865253,$83.31,$83.72,$83.17
09/28/2018,$83.23,4756464,$83.03,$83.29,$82.79
09/27/2018,$82.86,5290359,$83.04,$83.63,$82.81
09/26/2018,$83.26,6562417,$83.25,$83.99,$83.03
09/25/2018,$83.12,5370475,$84.28,$84.41,$83.08
09/24/2018,$84.27,6234613,$85.63,$85.71,$84.23
09/21/2018,$85.82,17314030,$85.81,$86.28,$85.52
09/20/2018,$85.36,10014860,$84.29,$85.635,$84.23
09/19/2018,$84,6127511,$83.92,$84.29,$83.77
09/18/2018,$84,5926616,$84.29,$84.29,$83.575
09/17/2018,$84.25,6825032,$83.5,$84.274,$83.34
09/14/2018,$83.61,4876240,$83.47,$83.665,$82.97
09/13/2018,$83.45,5081623,$83.27,$83.49,$82.65
09/12/2018,$83.11,5915718,$81.9,$83.18,$81.7
09/11/2018,$82.01,5181375,$82.13,$82.42,$81.63
09/10/2018,$82.38,6648969,$82.58,$83.1,$82.34
09/07/2018,$81.91,11091290,$82.1,$82.2,$81.25
09/06/2018,$82.65,7541078,$82.91,$83.305,$82.49
09/05/2018,$83.29,7577694,$82.11,$83.47,$82.11
09/04/2018,$82.7,5743875,$82.48,$82.96,$82.07
08/31/2018,$82.95,6579145,$83.35,$83.53,$82.39
08/30/2018,$83.41,4443865,$83.39,$83.74,$83.19
08/29/2018,$83.49,4520429,$83.51,$83.76,$83.29
08/28/2018,$83.48,5400739,$83.72,$83.86,$83.32
08/27/2018,$83.44,3929986,$83.5,$83.82,$83.02
08/24/2018,$83.36,5301672,$83.22,$83.55,$83.03
08/23/2018,$83.24,4217079,$83.01,$83.6,$82.84
08/22/2018,$83.39,5117923,$83.81,$83.85,$83.06
08/21/2018,$83.9,8344021,$83.57,$84,$83.09
08/20/2018,$83.64,6544846,$83.89,$83.95,$83.31
08/17/2018,$83.69,8335354,$83.73,$84.2,$83.6
08/16/2018,$83.69,12348860,$82.46,$84,$82.31
08/15/2018,$82.3,8355594,$81.3,$82.365,$80.81
08/14/2018,$81.31,6226887,$81.39,$81.72,$81.23
08/13/2018,$81.52,5068021,$81.7,$82.08,$81.15
08/10/2018,$81.43,5563915,$81.3,$81.76,$81
08/09/2018,$81.4,5167432,$82.44,$82.44,$81.3
08/08/2018,$82.35,4891255,$82.1,$82.799,$82.1
08/07/2018,$82.64,6417985,$82.41,$82.68,$81.73
08/06/2018,$82.52,5669217,$82.2,$82.925,$82.15
08/03/2018,$82.33,7102315,$82.14,$83.1,$81.92
08/02/2018,$82,9261621,$80.8,$82.22,$80.59
08/01/2018,$80.65,7555988,$80.42,$80.82,$80.11
07/31/2018,$80.88,9878078,$80.39,$80.98,$79.43
07/30/2018,$80.2,7089940,$80.07,$80.5,$79.84
07/27/2018,$80.58,7492698,$79.67,$80.8253,$79.46
07/26/2018,$80.09,9770966,$79.56,$80.77,$79.47
07/25/2018,$79.47,6206939,$78.72,$79.6,$78.72
07/24/2018,$78.99,8296980,$77.54,$79.01,$77.54
07/23/2018,$78.51,5871547,$78.49,$78.94,$78.24
07/20/2018,$78.68,8234628,$78.32,$79.055,$78.32
07/19/2018,$78.73,8006178,$78.42,$79.19,$77.89
07/18/2018,$79.72,9102661,$79.72,$80.21,$79.33
07/17/2018,$80.03,8979184,$79.66,$80.5,$79.55
07/16/2018,$79.53,6930933,$79.21,$79.63,$78.83
07/13/2018,$79.31,6010332,$79.08,$79.47,$78.9
07/12/2018,$78.89,8556335,$79.34,$79.52,$78.565
07/11/2018,$79.16,7846095,$79.63,$79.84,$79.0301
07/10/2018,$79.82,12757640,$78.07,$79.94,$77.99
07/09/2018,$77.86,9086410,$78.46,$78.83,$77.78
07/06/2018,$79.31,7202292,$79.38,$79.62,$78.9
07/05/2018,$79.21,7484998,$78.14,$79.25,$78.12
07/03/2018,$77.9,5897243,$78.54,$78.76,$77.78
07/02/2018,$78.13,6092750,$77.5,$78.31,$77.421
06/29/2018,$78.06,7672951,$77.93,$78.54,$77.29
06/28/2018,$78.05,5707537,$77.86,$78.315,$77.66
06/27/2018,$77.69,7833168,$78.11,$78.705,$77.56
06/26/2018,$78,9548365,$77.79,$78.31,$77.36
06/25/2018,$77.79,11283260,$77.28,$77.94,$77.18
06/22/2018,$77.43,11813110,$76.79,$77.625,$76.77
06/21/2018,$76.44,8674341,$75.53,$77.05,$75.53
06/20/2018,$75.85,6599017,$76.35,$76.35,$75.54
06/19/2018,$76.33,8499412,$75.59,$76.68,$75.57
06/18/2018,$75.84,7380130,$76.86,$77.1,$75.39
06/15/2018,$77.38,14938780,$76.16,$77.51,$75.92
06/14/2018,$75.99,8881502,$76.56,$76.56,$75.7
06/13/2018,$76.47,7971774,$77.4,$77.4,$76.2
06/12/2018,$77.24,8756585,$77.82,$77.89,$77.11
06/11/2018,$77.53,8831059,$76.97,$77.69,$76.88
06/08/2018,$77.18,13623640,$75.85,$77.21,$75.74
06/07/2018,$75.76,13475620,$74.18,$76.3939,$74.1
06/06/2018,$74.35,7002705,$74.07,$74.42,$73.72
06/05/2018,$73.97,6909083,$74.28,$74.3752,$73.6
06/04/2018,$74.18,8736676,$73.54,$74.62,$73.45
06/01/2018,$73.45,7205046,$73.33,$73.735,$72.86
05/31/2018,$73.17,15516160,$74.67,$74.69,$72.8
05/30/2018,$74.89,8128370,$74.33,$75.015,$74.05
05/29/2018,$74.05,8904973,$74.06,$74.7,$73.77
05/25/2018,$74.31,7545987,$73.9,$74.62,$73.75
05/24/2018,$73.77,6508675,$74.08,$74.35,$73.5929
05/23/2018,$74.18,6574813,$74.02,$74.3,$73.725
05/22/2018,$74.03,7742860,$74.46,$74.94,$73.83
05/21/2018,$74.06,6409844,$73.75,$74.25,$73.42
05/18/2018,$73.45,7042043,$73.98,$74.07,$73.11
05/17/2018,$73.96,8051302,$73.52,$74,$73.4
05/16/2018,$73.53,8296201,$72.98,$73.93,$72.96
05/15/2018,$72.95,11499290,$73.31,$73.41,$72.6
05/14/2018,$73.28,8646082,$73.78,$73.78,$73.09
05/11/2018,$73.37,7585445,$73.63,$74.1,$73.05
05/10/2018,$73.15,7615801,$72.94,$73.34,$72.69
05/09/2018,$72.37,7424822,$71.77,$72.545,$71.74
05/08/2018,$71.44,7949870,$72.05,$72.12,$71.111
05/07/2018,$71.98,6633205,$72.67,$73.22,$71.89
05/04/2018,$72.43,8099680,$71.38,$72.62,$71.34
05/03/2018,$71.36,9384897,$70.81,$71.72,$70.74
05/02/2018,$70.94,10271450,$71.94,$72.01,$70.73
05/01/2018,$71.96,8102620,$72.05,$72.335,$71.66
04/30/2018,$72.34,13076310,$72.91,$72.915,$72.16
04/27/2018,$72.81,8138900,$72.53,$73.08,$72.21
